node,cell_type,side,direction,edges,price_um,lost_flow,lost_flow_brain_to_vnc,lost_flow_vnc_to_brain,value,value_per_mm
AN07B041|R,AN07B041,R,ascending,10,5248.95,0,0,0,0,0.00
AN07B043|L,AN07B043,L,ascending,20,15460.78,0,0,0,0,0.00
AN07B043|R,AN07B043,R,ascending,13,10083.97,0,0,0,0,0.00
AN07B045|L,AN07B045,L,ascending,10,5714.26,0,0,0,0,0.00
AN07B045|R,AN07B045,R,ascending,5,2490.53,0,0,0,0,0.00
AN07B046_a|L,AN07B046_a,L,ascending,8,4180.81,0,0,0,0,0.00
DNp67|R,DNp67,R,descending,39,24124.37,0,0,0,0,0.00
DNp68|L,DNp68,L,descending,18,12018.56,0,0,0,0,0.00
DNp68|R,DNp68,R,descending,16,10724.24,0,0,0,0,0.00
AN07B046_a|R,AN07B046_a,R,ascending,7,3652.14,0,0,0,0,0.00
AN07B046_b|L,AN07B046_b,L,ascending,3,1633.36,0,0,0,0,0.00
DNp70|L,DNp70,L,descending,22,12517.80,0,0,0,0,0.00
DNp70|R,DNp70,R,descending,22,12479.20,0,0,0,0,0.00
DNp71|L,DNp71,L,descending,22,10867.78,0,0,0,0,0.00
DNp71|R,DNp71,R,descending,25,12497.67,0,0,0,0,0.00
DNp72|L,DNp72,L,descending,17,12269.11,0,0,0,0,0.00
DNp72|R,DNp72,R,descending,19,12468.84,0,0,0,0,0.00
DNp73|L,DNp73,L,descending,33,18902.57,0,0,0,0,0.00
DNp73|R,DNp73,R,descending,30,17572.23,0,0,0,0,0.00
DNpe001|L,DNpe001,L,descending,3,1602.19,0,0,0,0,0.00
DNpe001|R,DNpe001,R,descending,4,2108.29,0,0,0,0,0.00
DNpe002|L,DNpe002,L,descending,27,14621.24,0,0,0,0,0.00
DNpe002|R,DNpe002,R,descending,29,15345.25,0,0,0,0,0.00
DNpe003|L,DNpe003,L,descending,17,9703.90,0,0,0,0,0.00
DNpe003|R,DNpe003,R,descending,17,10000.97,0,0,0,0,0.00
DNpe004|L,DNpe004,L,descending,28,15209.57,0,0,0,0,0.00
AN07B046_b|R,AN07B046_b,R,ascending,6,3719.08,0,0,0,0,0.00
AN07B046_c|L,AN07B046_c,L,ascending,7,3690.17,0,0,0,0,0.00
AN07B046_c|R,AN07B046_c,R,ascending,8,4390.28,0,0,0,0,0.00
DNpe006|L,DNpe006,L,descending,44,28012.88,0,0,0,0,0.00
DNpe006|R,DNpe006,R,descending,47,29035.82,0,0,0,0,0.00
AN07B050|L,AN07B050,L,ascending,10,7607.23,0,0,0,0,0.00
AN07B050|R,AN07B050,R,ascending,13,9678.15,0,0,0,0,0.00
DNpe008|L,DNpe008,L,descending,45,28708.75,0,0,0,0,0.00
DNpe008|R,DNpe008,R,descending,47,30937.56,0,0,0,0,0.00
AN07B057|L,AN07B057,L,ascending,2,1174.46,0,0,0,0,0.00
AN07B057|R,AN07B057,R,ascending,4,2259.85,0,0,0,0,0.00
DNpe010|L,DNpe010,L,descending,3,1504.34,0,0,0,0,0.00
DNpe010|R,DNpe010,R,descending,4,2029.50,0,0,0,0,0.00
AN07B060|L,AN07B060,L,ascending,6,2994.77,0,0,0,0,0.00
AN07B060|R,AN07B060,R,ascending,6,2831.60,0,0,0,0,0.00
DNpe012_a|L,DNpe012_a,L,descending,6,3703.55,0,0,0,0,0.00
DNpe012_a|R,DNpe012_a,R,descending,10,5991.29,0,0,0,0,0.00
DNpe012_b|L,DNpe012_b,L,descending,7,3703.66,0,0,0,0,0.00
DNpe012_b|R,DNpe012_b,R,descending,11,7046.88,0,0,0,0,0.00
DNpe013|L,DNpe013,L,descending,18,9622.23,0,0,0,0,0.00
DNpe013|R,DNpe013,R,descending,16,8502.70,0,0,0,0,0.00
DNpe014|L,DNpe014,L,descending,16,9526.24,0,0,0,0,0.00
DNpe014|R,DNpe014,R,descending,17,9715.46,0,0,0,0,0.00
DNpe015|L,DNpe015,L,descending,32,21118.69,0,0,0,0,0.00
AN07B062|L,AN07B062,L,ascending,10,3267.45,0,0,0,0,0.00
DNpe016|L,DNpe016,L,descending,32,17792.49,0,0,0,0,0.00
DNpe016|R,DNpe016,R,descending,33,17582.64,0,0,0,0,0.00
DNpe017|L,DNpe017,L,descending,41,22538.28,0,0,0,0,0.00
DNpe017|R,DNpe017,R,descending,38,21558.38,0,0,0,0,0.00
DNpe018|L,DNpe018,L,descending,2,1239.08,0,0,0,0,0.00
DNpe018|R,DNpe018,R,descending,4,2704.51,0,0,0,0,0.00
AN07B062|R,AN07B062,R,ascending,9,3258.04,0,0,0,0,0.00
AN07B069_a|L,AN07B069_a,L,ascending,5,1908.34,0,0,0,0,0.00
AN07B069_a|R,AN07B069_a,R,ascending,3,1163.47,0,0,0,0,0.00
DNpe022|L,DNpe022,L,descending,33,21516.99,0,0,0,0,0.00
DNpe022|R,DNpe022,R,descending,34,22056.56,0,0,0,0,0.00
DNpe023|L,DNpe023,L,descending,4,2244.26,0,0,0,0,0.00
